sku,wp_post_id,vendor,brand,name,identity_key,primary_ean,lookup_ean,all_eans,shop_status,woo_thumb,woo_kind,vendor_image,in_wholesale_export,has_override,has_cdn_file,has_scraped_file,has_brasty_file,fill_origin,override_url,no_image_bytes_anywhere
BF-B956442,121578,beautyfort,Jimmy Choo,Jimmy Choo I Want Choo Forever Geschenk-Set 60ml EDP + 100ml Körperlotion,ean:3386460138246,3386460138246,3386460138246,3386460138246,missing,,none,https://www.beautyfort.com/pic/TWxUeWdxVUhsUGx0V09ZU2xTL05ScXRoTllvMURGSVE%3D,0,0,0,0,0,,,1
BF-N9967214,121581,beautyfort,Emily In Paris,Emily In Paris Gift Set 335g Bath Crystals + 2 x 80g Bath Fizzers,ean:5013692276283,5013692276283,5013692276283,5013692276283,missing,,none,,0,0,0,0,0,,,1
BF-D9626116,121588,beautyfort,Lalique,Lalique Soleil Hair Mist 50ml,ean:7640171196381,7640171196381,7640171196381,7640171196381,missing,,none,,0,0,0,0,0,,,1
BF-L26413,121590,beautyfort,Taylor of London,Taylor of London Lace Body Spray 75ml,ean:0025929180183,0025929180183,25929180183,25929180183,missing,,none,https://www.beautyfort.com/pic/NEJBQ1RFRFFrRVE0V2xZRGM5UHhranNEWDVYaTNFdlk%3D,0,0,0,0,0,,,1
BF-G87848,121591,beautyfort,Taylor of London,Taylor of London White Satin Body Spray 75ml,ean:0025929180480,0025929180480,25929180480,25929180480,missing,,none,https://www.beautyfort.com/pic/d01aYUJFeWdib2RkTXdJWjliTlhWeGJVL3J5MVFUam4%3D,0,0,0,0,0,,,1
BF-Z207423,121598,beautyfort,Collection,Collection Incredibrow Brow Definer Pencil 1g - Blonde,ean:5020480550036,5020480550036,5020480550036,5020480550036,missing,,none,https://www.beautyfort.com/pic/S3hPQVZvMEhSWjNNTjZ0T09pako4S3RoTllvMURGSVE%3D,0,0,0,0,0,,,1
BF-U410217,121603,beautyfort,Impulse,Impulse Tease Body Spray 75 ml,ean:8717163020524,8717163020524,8717163020524,8717163020524,missing,,none,https://www.beautyfort.com/pic/bCt1T2hwM3RIV0Ura3h1SFRNUDgvRHNEWDVYaTNFdlk%3D,0,0,0,0,0,,,1
BF-P061234,121604,beautyfort,Brut,Brut Original Shower Gel 600ml,ean:8720665000192,8720665000192,8720665000192,8720665000192,missing,,none,https://www.beautyfort.com/pic/NDc4RFdDTVNJOFE2cVIwTk50WjRRS3RoTllvMURGSVE%3D,0,0,0,0,0,,,1
BF-F678951,121606,beautyfort,Baylis & Harding,"Baylis & Harding Jojoba, Vanilla & Almond Oil Luxury Gift Set Bath Bomb Fizzers 3 x 120G",ean:0017854110175,0017854110175,17854110175,17854110175,missing,,none,,0,0,0,0,0,,,1
BF-E091342,121607,beautyfort,Rimmel,Rimmel Salon Pro By Kate Nagellack 12ml - 444 Seduce,ean:3607342754010,3607342754010,3607342754010,3607342754010,missing,,none,https://www.beautyfort.com/pic/djNEVFJlRnhVUEZVWnZqcjF2cnZzVHNEWDVYaTNFdlk%3D,0,0,0,0,0,,,1
