export_id,brand,title,type,sex,volume,ean_raw,ean,stock,price,tester,shade,coverage,image_url,cdn_file,scraped_file,brasty_file
181808,BALR.,Offside,Eau de Parfum,W,50 ml,8720707130351,8720707130351,1,"8,48",0,,no_image_anywhere,,,,
181817,Creed,Queen of Silk,Eau de Parfum,W,30 ml,3508440000507,3508440000507,2,"105,71",0,,brasty_dump,,,,in_stock/3508440000507.jpg
181818,Creed,Eladaria,Eau de Parfum,W,30 ml,3508440004192,3508440004192,2,"105,71",0,,no_image_anywhere,,,,
181823,Hollister,Feelin' Good,Eau de Toilette,M,30 ml,85715267672,85715267672,58,"3,29",0,,no_image_anywhere,,,,
181834,Rasasi,Hawas Tropical,Eau de Parfum,M,100 ml,614514464441,614514464441,789,"26,73",0,,our_cdn_file,https://images.prinscosmetic.eu/614514464441.jpg,614514464441.jpg,,out_of_stock/614514464441.jpg
181837,Banderas,Blue Seduction,Eau de Toilette,W,80 ml,8411061081310,8411061081310,40,"11,28",0,,no_image_anywhere,,,,
181838,Furla,Pura,Eau de Parfum,W,100 ml,679602400411,679602400411,1238,"11,26",0,,no_image_anywhere,,,,
181839,Furla,Pura,Eau de Parfum,W,30 ml,679602400428,679602400428,5,"12,08",0,,no_image_anywhere,,,,
181840,Furla,Unica,Eau de Parfum,W,30 ml,679602402125,679602402125,197,"6,84",0,,override_url,https://cdn.shopify.com/s/files/1/0679/9792/5684/files/F535151.jpg?v=1740611897,,,
181841,Furla,Mistica,Eau de Parfum,W,30 ml,679602403122,679602403122,1191,"5,66",0,,no_image_anywhere,,,,
181852,Mario Badescu,Enzyme Cleansing Gel,Cleansing Gel,W,236 ml,785364014077,785364014077,4,"9,96",0,,no_image_anywhere,,,,
181855,Gulf Orchid,Sweet Heaven,Eau de Parfum,UNI,100 ml,6291107019741,6291107019741,3,"18,17",0,,no_image_anywhere,,,,
181856,Memwa,Liberty,Eau de Parfum,W,90 ml,6291107019291,6291107019291,29,"9,64",0,,no_image_anywhere,,,,
