sku,wp_post_id,vendor,brand,name,identity_key,primary_ean,lookup_ean,all_eans,shop_status,woo_thumb,woo_kind,vendor_image,in_wholesale_export,has_override,has_cdn_file,has_scraped_file,has_brasty_file,fill_origin,override_url,no_image_bytes_anywhere
BTS-375991,72916,bts,NYX,"Nyx Line Loud Lip Pencil Stick Global Citizen 1,2g",ean:0800897221652,0800897221652,800897221652,800897221652,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-311156,72917,bts,NYX,Nyx Line Loud Lip Pencil Stick 6-Ambition Statement,ean:0800897221669,0800897221669,800897221669,800897221669,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-375990,72918,bts,NYX,"Nyx Line Loud Lip Pencil Stick Total Baller 1,2g",ean:0800897221676,0800897221676,800897221676,800897221676,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-311162,72919,bts,NYX,Nyx Line Loud Lip Pencil Stick 16-Magic Maker,ean:0800897221768,0800897221768,800897221768,800897221768,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-375997,72920,bts,NYX,"Nyx Micro Brow Pencil Cool Ash Brown 0,5g",ean:0800897223786,0800897223786,800897223786,800897223786,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-340196,72921,bts,NYX,Nyx Wonder Stick Blush 01-Light Peach and Baby Pink 4g,ean:0800897225261,0800897225261,800897225261,800897225261,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-375994,72922,bts,NYX,Nyx Wonder Stick Blush 1-Light Peach N Baby Pink 4g,ean:0800897225278,0800897225278,800897225278,800897225278,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-340197,72923,bts,NYX,Nyx Wonder Stick Blush Coral and Deep Peach 4g,ean:0800897225285,0800897225285,800897225285,800897225285,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-375995,72924,bts,NYX,Nyx Wonder Stick Blush Depp Magenta and Ginger 4g,ean:0800897225292,0800897225292,800897225292,800897225292,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
BTS-375993,72925,bts,NYX,Nyx Wonder Stick Blush 05-Bright Amber and Fuchia 4g,ean:0800897225308,0800897225308,800897225308,800897225308,missing,,none,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,0,0,0,1,0,scraped_unapplied,,0
