sku,name,brand,vendor,vendor_product_id,primary_ean,extra_eans,lookup_ean,wp_post_id,slug,stock,vendor_image_url,identity_key
BTS-400682,"Essence Cosmetics Jelly Jewels Iluminador Stick 01-Frosted Twinkle 2,5g",ESSENCE COSMETICS,bts,400682,4059729561428,,4059729561428,89883,essence-cosmetics-jelly-jewels-iluminador-stick-01-frosted-twinkle-2-5g-bts-400682,7,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729561428
BTS-400683,"Essence Cosmetics Jelly Jewels Iluminador Stick 02-Diamond Dust 2,5g",ESSENCE COSMETICS,bts,400683,4059729561435,,4059729561435,89884,essence-cosmetics-jelly-jewels-iluminador-stick-02-diamond-dust-2-5g-bts-400683,9,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729561435
BTS-400684,"Essence Cosmetics Jelly Jewels Iluminador Stick 03-Golden Hour 2,5g",ESSENCE COSMETICS,bts,400684,4059729561442,,4059729561442,89885,essence-cosmetics-jelly-jewels-iluminador-stick-03-golden-hour-2-5g-bts-400684,17,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729561442
BTS-394684,"Essence Cosmetics Juicy Bomb Bálsamo Manteca Labial 06-Before You Coco 2,50g",ESSENCE COSMETICS,bts,394684,4059729511119,,4059729511119,89573,essence-cosmetics-juicy-bomb-balsamo-manteca-labial-06-before-you-coco-2-50g-bts-394684,0,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729511119
BTS-414150,"Essence Cosmetics Juicy Bomb Bálsamo Manteca Labial 07-Caramelt My Heart 2,5g",ESSENCE COSMETICS,bts,414150,4059729585035,,4059729585035,89939,essence-cosmetics-juicy-bomb-balsamo-manteca-labial-07-caramelt-my-heart-2-5g-bts-414150,0,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729585035
BTS-332696,Essence Cosmetics Juicy Bomb Brillo De Labios 103-Proud Papaya 10ml,ESSENCE COSMETICS,bts,332696,4059729394583,,4059729394583,89370,essence-cosmetics-juicy-bomb-brillo-de-labios-103-proud-papaya-10ml-bts-332696,56,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729394583
BTS-413756,Essence Cosmetics Lash With Out Limits Máscara De Pestañas Marrón 05 13ml,ESSENCE COSMETICS,bts,413756,4059729583239,,4059729583239,89891,essence-cosmetics-lash-with-out-limits-mascara-de-pestanas-marron-05-13ml-bts-413756,0,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729583239
BTS-413746,Essence Cosmetics Lip Sheet Mascarilla Labial 1 U,ESSENCE COSMETICS,bts,413746,4059729585257,,4059729585257,89955,essence-cosmetics-lip-sheet-mascarilla-labial-1-u-bts-413746,0,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729585257
BTS-414128,"Essence Cosmetics Long-Lasting Lápiz De Ojos 18h Waterproof 40-Roasted Chestnut 0,28g",ESSENCE COSMETICS,bts,414128,4059729583376,,4059729583376,89900,essence-cosmetics-long-lasting-lapiz-de-ojos-18h-waterproof-40-roasted-chestnut-0-28g-bts-414128,0,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729583376
BTS-316628,Essence Cosmetics Magic All In One Crema Facial 30ml,ESSENCE COSMETICS,bts,316628,4059729362582,,4059729362582,89326,essence-cosmetics-magic-all-in-one-crema-facial-30ml-bts-316628,88,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729362582
BTS-394678,"Essence Cosmetics Make Me Brow Máscara Gel Para Cejas 07-Dark Browny Brows 3,80ml",ESSENCE COSMETICS,bts,394678,4059729521057,,4059729521057,89726,essence-cosmetics-make-me-brow-mascara-gel-para-cejas-07-dark-browny-brows-3-80ml-bts-394678,20,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729521057
BTS-319034,"Essence Cosmetics Matte Comfort Perfilador De Labios 02-Silky Hazelnut 0,3g",ESSENCE COSMETICS,bts,319034,4059729384232,,4059729384232,89349,essence-cosmetics-matte-comfort-perfilador-de-labios-02-silky-hazelnut-0-3g-bts-319034,73,https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/no_image.webp,ean:4059729384232
